id,Longitud,Latitud,2026_011,2026_012,2026_013,2026_010,2026_021,2026_022,2026_023,2026_020,2026_031,2026_032,2026_033,2026_030,2026_041,2026_042
0,-58.33350002765656,-34.333500027656555,30.4686279296875,38.351505279541016,26.5820426940918,31.632381439208984,18.4531364440918,26.71575355529785,33.18053436279297,25.61189842224121,30.98582649230957,31.28731155395508,66.66705322265625,43.74415969848633,89.31929779052734,96.63575744628906
1,-58.0,-34.333500027656555,21.18732070922852,26.85359001159668,17.814697265625,21.81841278076172,11.831049919128418,15.747720718383787,30.327037811279297,18.514429092407227,26.983531951904297,24.901893615722656,62.60057830810547,38.95034408569336,86.95856475830078,95.9398422241211
2,-58.33350002765656,-34.0,27.66392707824707,40.32540893554688,28.688682556152344,32.111900329589844,18.885448455810547,19.8291015625,25.601316452026367,21.141286849975582,21.1386947631836,23.71668243408203,60.68844604492188,36.004085540771484,85.02714538574219,95.53477478027344
3,-58.0,-34.0,21.90006828308105,33.33092498779297,23.80041885375977,26.26175880432129,15.75337028503418,14.919792175292969,25.43141365051269,18.2208194732666,22.314453125,22.12564849853516,58.86191177368164,35.22200012207031,80.10707092285156,88.70391082763672
4,-57.666499972343445,-34.333500027656555,16.178184509277344,21.11832618713379,13.944442749023438,16.97916030883789,9.165413856506348,9.211380958557127,29.065370559692383,14.86753273010254,25.766647338867188,26.312667846679688,63.19590377807617,39.2241325378418,76.5335922241211,82.96723175048828
5,-57.33350002765656,-34.333500027656555,21.11756706237793,38.196815490722656,25.72094917297364,28.260459899902344,16.259536743164062,13.78281021118164,36.710147857666016,21.2180233001709,33.58160781860352,30.558631896972656,62.062984466552734,42.71274948120117,78.38987731933594,87.85308074951172
6,-57.666499972343445,-34.0,19.32592964172364,38.197547912597656,27.15348243713379,28.191068649291992,17.042951583862305,12.510683059692385,29.04217529296875,18.85263442993164,26.77880859375,26.38111686706543,66.8551254272461,40.87115097045898,84.62957000732422,91.2255401611328
7,-57.33350002765656,-34.0,23.94156265258789,43.59130859375,26.48758888244629,31.183618545532227,15.770186424255373,11.857072830200195,27.43746566772461,17.706153869628906,23.74374008178711,21.970420837402344,53.95562362670898,33.89204788208008,65.44580841064453,77.4130859375
8,-57.666499972343445,-33.666499972343445,21.169002532958984,34.28508377075195,20.312429428100582,25.096052169799805,12.516804695129396,12.652406692504885,18.21405029296875,14.193017959594728,14.56801986694336,14.051339149475098,62.95678329467773,31.57155418395996,91.72582244873048,93.55786895751952
9,-58.0,-33.666499972343445,19.900161743164062,29.67395401000977,18.24695205688477,22.46637535095215,11.638053894042969,12.01935577392578,15.717472076416016,12.939781188964844,12.503411293029783,13.914780616760254,56.99031448364258,28.744367599487305,84.92227935791016,93.60712432861328
